Created as New Dataset,Sample 052 By Administrator Date Tuesday, October 29 2019
cm-1,A,
5915.75,0.4629,
5915.63,0.4626,
5915.5,0.4627,
5915.38,0.4633,
5915.25,0.464,
5915.13,0.4645,
5915,0.4648,
5914.88,0.4646,
5914.75,0.464,
5914.63,0.4635,
5914.5,0.4634,
5914.38,0.4637,
5914.25,0.4642,
5914.13,0.4644,
5914,0.4645,
5913.88,0.4647,
5913.75,0.4654,
5913.63,0.4662,
5913.5,0.467,
5913.38,0.4673,
5913.25,0.4671,
5913.13,0.4663,
5913,0.465,
5912.88,0.4635,
5912.75,0.4625,
5912.63,0.4625,
5912.5,0.463,
5912.38,0.4634,
5912.25,0.4633,
5912.13,0.4633,
5912,0.4635,
5911.88,0.4636,
5911.75,0.4632,
5911.63,0.4624,
5911.5,0.4618,
5911.38,0.4613,
5911.25,0.4608,
5911.13,0.4603,
5911,0.4601,
5910.88,0.4602,
5910.75,0.4604,
5910.63,0.4605,
5910.5,0.4608,
5910.38,0.4613,
5910.25,0.4619,
5910.13,0.4625,
5910,0.4631,
5909.88,0.4634,
5909.75,0.4632,
5909.63,0.4627,
5909.5,0.4628,
5909.38,0.4635,
5909.25,0.4645,
5909.13,0.4651,
5909,0.465,
5908.88,0.4644,
5908.75,0.4633,
5908.63,0.462,
5908.5,0.4612,
5908.38,0.4615,
5908.25,0.4625,
5908.13,0.4635,
5908,0.4638,
5907.88,0.4636,
5907.75,0.4632,
5907.63,0.4629,
5907.5,0.4627,
5907.38,0.4627,
5907.25,0.4628,
5907.13,0.4627,
5907,0.462,
5906.88,0.461,
5906.75,0.4603,
5906.63,0.4607,
5906.5,0.462,
5906.38,0.4634,
5906.25,0.4643,
5906.13,0.4646,
5906,0.4647,
5905.88,0.4645,
5905.75,0.4638,
5905.63,0.4629,
5905.5,0.4627,
5905.38,0.4634,
5905.25,0.4645,
5905.13,0.4652,
5905,0.4648,
5904.88,0.464,
5904.75,0.4634,
5904.63,0.4634,
5904.5,0.4635,
5904.38,0.4632,
5904.25,0.4624,
5904.13,0.4618,
5904,0.4615,
5903.88,0.4613,
5903.75,0.4611,
5903.63,0.4612,
5903.5,0.4617,
5903.38,0.4621,
5903.25,0.462,
5903.13,0.4615,
5903,0.4613,
5902.88,0.4616,
5902.75,0.4623,
5902.63,0.463,
5902.5,0.4637,
5902.38,0.4643,
5902.25,0.4643,
5902.13,0.4635,
5902,0.4621,
5901.88,0.4607,
5901.75,0.4599,
5901.63,0.4597,
5901.5,0.4601,
5901.38,0.4609,
5901.25,0.462,
5901.13,0.463,
5901,0.4638,
5900.88,0.464,
5900.75,0.4639,
5900.63,0.4638,
5900.5,0.4638,
5900.38,0.4633,
5900.25,0.4619,
5900.13,0.4604,
5900,0.4597,
5899.88,0.46,
5899.75,0.4609,
5899.63,0.4616,
5899.5,0.4622,
5899.38,0.4629,
5899.25,0.4632,
5899.13,0.4628,
5899,0.4619,
5898.88,0.4609,
5898.75,0.4606,
5898.63,0.4612,
